loss,mean_squared_error,val_loss,val_mean_squared_error,learning_rate
95.134033203125,34660620.0,95.754638671875,24966518.0,0.0010000000474974513
92.5539321899414,33269098.0,95.5057601928711,24845238.0,9.999999747378752e-05
90.101318359375,32914258.0,93.04573822021484,23662862.0,0.0010000000474974513
87.95479583740234,31942762.0,92.7997817993164,23546304.0,9.999999747378752e-05
85.51734161376953,31602798.0,90.34819793701172,22400614.0,0.0010000000474974513
83.38798522949219,30657704.0,90.10189819335938,22287172.0,9.999999747378752e-05
80.97364807128906,30329482.0,87.65447998046875,21175994.0,0.0010000000474974513
78.87537384033203,29410076.0,87.40769958496094,21065604.0,9.999999747378752e-05
76.5076675415039,29092198.0,84.96524810791016,19989094.0,0.0010000000474974513
74.46308898925781,28200012.0,84.71783447265625,19881722.0,9.999999747378752e-05
72.17237091064453,27890866.0,82.28063201904297,18839846.0,0.0010000000474974513
70.21068572998047,27027536.0,82.03311920166016,18735672.0,9.999999747378752e-05
68.10321044921875,26726574.0,79.6458511352539,17746512.0,0.0010000000474974513
66.35195922851562,25910692.0,79.40006256103516,17646294.0,9.999999747378752e-05
64.69215393066406,25611102.0,77.17889404296875,16753848.0,0.0010000000474974513
63.41007995605469,24894346.0,76.94551086425781,16661481.0,9.999999747378752e-05
62.42217254638672,24585742.0,75.10546875,15942767.0,0.0010000000474974513
61.72880935668945,24063872.0,74.91781616210938,15870409.0,9.999999747378752e-05
61.29379653930664,23780666.0,73.68665313720703,15399990.0,0.0010000000474974513
61.00587844848633,23511996.0,73.56535339355469,15354040.0,9.999999747378752e-05
60.83207702636719,23284676.0,72.826904296875,15075913.0,0.0010000000474974513
60.71745300292969,23183282.0,72.74797058105469,15046327.0,9.999999747378752e-05
60.63731002807617,22992472.0,72.28697204589844,14874240.0,0.0010000000474974513
60.590206146240234,22978540.0,72.23173522949219,14853681.0,9.999999747378752e-05
60.54671096801758,22808678.0,71.92707061767578,14740568.0,0.0010000000474974513
60.52751541137695,22842794.0,71.88578033447266,14725310.0,9.999999747378752e-05
60.446998596191406,22695730.0,71.64080047607422,14634763.0,0.0010000000474974513
59.76790237426758,22731704.0,71.59461212158203,14613591.0,9.999999747378752e-05
57.9845085144043,22474298.0,69.79971313476562,13963755.0,0.0010000000474974513
56.66733932495117,22013950.0,69.57371520996094,13882530.0,9.999999747378752e-05
