loss,mean_squared_error,val_loss,val_mean_squared_error,learning_rate
95.00909423828125,34649796.0,95.66988372802734,24925154.0,0.0010000000474974513
92.40646362304688,33226440.0,95.41751098632812,24802300.0,9.999999747378752e-05
89.91626739501953,32866940.0,92.91946411132812,23602970.0,0.0010000000474974513
87.73702239990234,31881494.0,92.66970825195312,23484742.0,9.999999747378752e-05
85.2625732421875,31536924.0,90.1803207397461,22323238.0,0.0010000000474974513
83.10150146484375,30578514.0,89.9301528930664,22208230.0,9.999999747378752e-05
80.65235900878906,30245940.0,87.44526672363281,21082390.0,0.0010000000474974513
78.52471923828125,29314334.0,87.19467163085938,20970548.0,9.999999747378752e-05
76.1258544921875,28992286.0,84.71470642089844,19880334.0,0.0010000000474974513
74.05531311035156,28088746.0,84.46337890625,19771582.0,9.999999747378752e-05
71.74090576171875,27775704.0,81.99132537841797,18718176.0,0.0010000000474974513
69.76326751708984,26902972.0,81.740234375,18612800.0,9.999999747378752e-05
67.65991973876953,26598134.0,79.3287353515625,17617228.0,0.0010000000474974513
65.92369842529297,25778090.0,79.07991790771484,17516168.0,9.999999747378752e-05
64.3216323852539,25473194.0,76.86300659179688,16628931.0,0.0010000000474974513
63.102325439453125,24765910.0,76.6300048828125,16537078.0,9.999999747378752e-05
62.162498474121094,24455162.0,74.78608703613281,15819558.0,0.0010000000474974513
61.43573760986328,23938020.0,74.61397552490234,15751694.0,9.999999747378752e-05
60.624874114990234,23625416.0,72.82149505615234,15072468.0,0.0010000000474974513
59.70231628417969,23163882.0,72.64892578125,15004625.0,9.999999747378752e-05
58.29386520385742,22800232.0,70.27360534667969,14133758.0,0.0010000000474974513
